time,msg,sent
2019-07-16 07:25:35,"LMP: Okay. NOUN 71: we used 30 and 37, four balls 1; NOUN 93: plus 00016, plus 00033, plus 00152; GET 00 48 15; check star 34. Over.",0
2019-07-16 07:26:02,CC: Roger. Say again check star.,0
2019-07-16 07:26:06,LMP: Check star 34.,0
2019-07-16 07:26:09,CC: Roger. We copy. And the angles look good.,0
2019-07-16 07:26:13,CMP: And tell Glenn Parker down at the Cape that he lucked out.,0
2019-07-16 07:26:17,CC: Understand. Tell Glenn Parker he lucked out.,0
2019-07-16 07:26:22,CMP: Yes. He lucked out. He doesn't owe me a cup of coffee.,0
2019-07-16 07:26:26,CC: This is Houston. Roger. We'll pass it on.,0
2019-07-16 07:29:27,"CC: Apollo 11, this is Houston. One minute to LOS Carnarvon; AOS at Honeysuckle 59 33. Over.",0
2019-07-16 07:29:37,CDR: Apollo 11. Roger.,0
2019-07-16 07:29:40,CC: Roger. And we request you turn up S-band volume for the Honeysuckle pass.,0
2019-07-16 07:34:48,"CC: Apollo 11, Apollo 11, this is Houston on S-band. Radio check. Over.",0
2019-07-16 07:34:55,"CDR: Roger, Houston. Apollo 11 reads you loud and clear.",0
2019-07-16 07:34:58,CC: This is Houston. Roger. Reading you the same. Out.,0
2019-07-16 07:36:24,"CC: Apollo 11, this is Houston. A little over 1 minute to LOS at Honeysuckle. You'll be AOS at Goldstone at 1 29 02; LOS at Goldstone 1 33 55. Over.",0
2019-07-16 07:36:47,"CMP: Roger, Bruce. Thank you. We expect TV. We've got it all hooked up. We have not yet turned it on. We're ready to do that now.",0
2019-07-16 07:36:55,CC: Roger. We copy. We'll be configured and waiting for whatever you want to send down.,0
2019-07-16 08:01:09,"CC: Apollo 11, this is Houston through Guaymas. Over.",0
2019-07-16 08:01:14,"CDR: Roger, Houston. Reading you loud and clear.",0
2019-07-16 08:01:17,CC: Roger. Reading you the same. Coming up on AOS Goldstone.,0
2019-07-16 08:01:20,CDR: Roger.,0
2019-07-16 08:01:27,LMP: Cecil B. deAldrin is standing by for instructions.,0
2019-07-16 08:01:32,CC: Houston. Roger.,0
2019-07-16 08:03:15,"CC: Apollo 11, this is Houston. We are not receiving your FM downlink yet. We are standing by.",0
2019-07-16 08:03:56,"CC: Apollo 11, this is Houston. We are receiving your FM downlink now. We are standing by for TV modulations on the signal.",0
2019-07-16 08:04:23,"CC: Apollo 11, Apollo 11, this is Houston. Radio check. Over.",0
2019-07-16 08:04:27,CDR: Roger. Loud and clear. We think we are transmitting to you.,0
2019-07-16 08:04:31,"CC: Okay. We are not receiving it yet, 11, although we have confirmed presence of your FM downlink carrier.",0
2019-07-16 08:04:39,CDR: Which switches do you want us to confirm?,0
2019-07-16 08:04:42,CC: Stand by.,0
2019-07-16 08:05:11,"CC: Apollo 11, this is Houston. You were just on the fringes of coverage from Goldstone. We have just had LOS at Goldstone, and we'd like to push on and get the PAD messages read up to you here shortly.",0
2019-07-16 08:05:26,CDR: Roger. We are ready to copy.,0
2019-07-16 08:06:33,"CC: Apollo 11, this is Houston. I am ready with your TLI-plus-90-minute abort PAD.",0
2019-07-16 08:06:55,"CC: Apollo 11, this is Houston. I am ready with your TLI-plus-90-minute abort PAD.",0
2019-07-16 08:07:00,CDR: Roger. Apollo 11 is ready to copy TLI plus 90.,0
2019-07-16 08:07:03,CMP: Go.,0
2019-07-16 08:07:05," CC: Roger. TLI plus 90, SPS G&N: 63481, minus 153, plus 132; GETI 004 10 25 38; NOUN 81, minus 04761, plus 00001, plus 53361; roll 180 193 000; HA is NA; plus 00203 53573 633 53349, sextant star 33 1578 122. The boresight star is not available. Latitude minus",0
2019-07-16 08:07:05,"0252, minus 02580 11887 34345 016 03 50. GDC align Vega and Deneb. Roll 071 291 341. No ullage, undocked. I have your P37 for TLI plus 5 hours. Over.",0
2019-07-16 08:09:08,"CMP: Go ahead, TLI plus 5.",0
2019-07-16 08:09:11,"CC: Roger. P37 format, TLI plus 5: 00744 6485, minus 165, 02506. Read back. Over.",0
2019-07-16 08:09:31," CMP: Roger. TLI plus 90, SPS G&N: 63481, minus 153, plus 132, 004 l0 25 38, minus 04761, plus 00001, plus 53361, 180 193 000, not applicable, plus 00203 53573 633 53349, 33 1578 122, not available, minus 0252, minus 02580 11887 34345 016 03 50. Vega and",0
2019-07-16 08:09:31,"Deneb, 071 291 341. No ullage, undocked. P37, TLI plus 5: 00744 6485, minus 165 02506. Over.",0
2019-07-16 08:11:04," CC: Apollo 11, this is Houston. Readback correct. For your information, Goldstone reports receiving approximately 1 minute of FM downlink carrier. We were getting ready to request you confirm on the S-band AUX switches, the S-band AUX tape switch to OFF and",0
2019-07-16 08:11:04,the S-band AUX TV switch to TV. Over.,0
2019-07-16 08:11:29,CDR: I confirm that that is the configuration we're in.,0
2019-07-16 08:11:33,CC: Roger. Let us do a little more detective work here and we'll see if we can come up with something.,0
2019-07-16 08:11:38,CDR: Okay.,0
2019-07-16 08:11:54,"CDR: Houston, Apollo 11 is ready to go ahead with the - extend the docking probe, and ready to go with the RCS hot fire when you're ready to monitor. Over.",0
2019-07-16 08:12:06,"CC: Roger. Go ahead with the probe, now.",0
2019-07-16 08:12:13,CDR: Roger.,0
2019-07-16 08:13:33,CDR: Okay. We're ready to - for the hot fire check when you're ready.,0
2019-07-16 08:13:39,CC: Roger. We're ready 11. Go ahead.,0
2019-07-16 08:13:48,CDR: Roger. Here's the pitch.,0
2019-07-16 08:14:13,"CC: Apollo 11, this is Houston. We are seeing the pitch hot firing and it looks good.",0
2019-07-16 08:14:18,CDR: Roger. Be advised that we are unable to hear them.,0
2019-07-16 08:14:22,CC: Roger. We copy.,0
2019-07-16 08:14:24,CDR: Have you seen all three axes fire?,0
2019-07-16 08:14:31,CC: We've seen pitch and yaw; we've not seen roll to date.,0
2019-07-16 08:14:36,CDR: Okay. I'll put in a couple more rolls.,0
2019-07-16 08:14:42,"CC: Okay. We've got the roll impulses, and you're looking good here.",0
2019-07-16 08:14:48,"CDR: Roger. Houston, Apollo 11. We're standing by for a GO for sequence logic ON.",0
2019-07-16 08:15:03,"CC: Apollo 11, this is Houston. Go ahead and we'll watch you on TM.",0
2019-07-16 08:15:07,"CDR: Okay. Sequence logic, two of them. Sequence logic 1 and 2 coming up and ON.",0
2019-07-16 08:15:36,"CC: Apollo 11, this Houston. You are GO for RYRO ARM.",0
2019-07-16 08:15:40,CDR: Roger. Thank you.,0
2019-07-16 08:15:57,"CC: Apollo 11, this is Houston. If you will give us P00 in ACCEPT, we have a state vector update for you.",0
2019-07-16 08:16:04,CDR: Roger.,0
2019-07-16 08:16:17,CDR: You have P00 in ACCEPT.,0
2019-07-16 08:16:19,"CC: Roger. It will probably be another 10 or 15 seconds. We're going to go up through the Vanguard. When you are ready to copy, I have your TLI PAD.",0
2019-07-16 08:16:26,CMP: Roger. Ready to copy TLI PAD.,0
2019-07-16 08:16:30,"CC: Roger. TLI: 23514 179 071 001, burn time 547 104356 35575. Roll for SEP 357 107 041, 301 287 319. TLI 10-minute abort pitch, 223. Read back. Over.",0
2019-07-16 08:17:23,"CMP: Roger. TLI PAD: 23514 179 071 001 547 104356 35575 357 107 041 301 287 319. TLI 1O-minute abort pitch, 223. Over.",0
2019-07-16 08:18:03,"CC: Apollo 11, this is Houston. Roger. Would you read back DELTA-VC prime again? You were cut out by some noise.",0
2019-07-16 08:18:09,"CMP: Okay. Roger. I'm picking up the squeal here, also. DELTA-VC 104356. Over.",0
2019-07-16 08:18:25,"CC: Apollo 11, this is Houston. Readback correct. Out.",0
2019-07-16 08:19:06,"CC: Apollo 11, this is Houston. We've completed the uplink; the computer is yours. You can go back to BLOCK. Would you verify that you have extended the probe? Over.",0
2019-07-16 08:19:16,CDR: Roger. That's verified; the probe is extended.,0
2019-07-16 08:19:19,CC: Roger. About 2 minutes to LOS on this stateside pass. AOS Canaries at 1 50 13. Over.,0
2019-07-16 08:19:28,CDR: Roger. 1 50.,0
2019-07-16 08:22:42,"CC: Apollo 11, this is Houston. Over.",0
2019-07-16 08:22:45,"CDR: Roger. Houston, Apollo 11. Loud and clear.",0
2019-07-16 08:22:49,"CC: Okay. On your service module RCS quad Bravo package temperature, we're showing it running a little low. Looks like about 20 degrees low - lower than the rest of the quads. Would you confirm that your RCS heater switch for quad Bravo is in PRIMARY? Over.",0
2019-07-16 08:23:09,CDR: You're correct. It was not in PRIMARY. It was off. It's on now. Thank you.,0
2019-07-16 08:23:16,CC: Roger. Thank you.,0
2019-07-16 08:25:50,"CC: Apollo 11, this is Houston. Over.",0
2019-07-16 08:25:54,"CMP: Houston, Apollo 11. Go ahead.",0
2019-07-16 08:25:56," CC: Roger. We've checked over the spacecraft and the launch vehicle guidance. They're both looking to be in good shape. We estimate you have better than a 99-percent probability of a guidance cut-off on the launch vehicle, so things are apparently holding in",0
2019-07-16 08:25:56,"very well. For your information, MILA received approximately 1 minute of a usable TV picture, so apparently the system is working. And you're a little over a minute from LOS at Canary; AOS Tananarive is 2 hours 9 minutes and 18 seconds. Over.",0
2019-07-16 08:26:34,CMP: Roger. We like those 99 numbers. Thank you.,0
2019-07-16 08:26:38,CC: Roger. 0ut.,0
2019-07-16 08:41:17,"CC: Apollo 11, this is Houston through Tananarive. How do you read?",0
2019-07-16 08:41:45,"CC: Apollo 11, this is Houston standing by through Tananarive.",0
2019-07-16 08:42:03,"CT: Tananarive, Houston COMM TECH NET 1.",0
2019-07-16 08:42:12,"CT: Tananarive, Houston COMM TECH NET 1.",0
2019-07-16 08:42:23,"CT: Goddard voice, Houston COMM TECH NET 1.",0
2019-07-16 08:42:27,"MSFN: Goddard voice, reading you loud and clear.",0
2019-07-16 08:42:29,CT: Roger. We cannot raise Tananarive.,0
2019-07-16 08:42:31,"CT: Houston COMM TECH, Tananarive.",0
2019-07-16 08:42:34,"CT: Roger, Tananarive. Are you receiving CAP COMM's voice, and are you uplinking it?",0
2019-07-16 08:42:39,CT: Negative.,0
2019-07-16 08:42:41,CT: Roger. Monitor again and I'll tell CAP C0MM to make one more transmission.,0
2019-07-16 08:42:51,CT: Roger.,0
2019-07-16 08:42:56,"CC: Apollo 11, Apollo 11, this is Houston standing by through Tananarive. Over.",0
2019-07-16 08:43:04,"CDR: Houston, Apollo 11 ...",0
2019-07-16 08:43:06,CC: Roger. Reading you loud and clear.,0
2019-07-16 08:44:35,"CDR: Houston, Apollo 11. We have the PYRO's armed.",0
2019-07-16 08:44:39,CC: This is Houston. Roger. Out.,0
2019-07-16 08:47:23,"CC: Apollo 11, this is Houston. One minute to LOS Tananarive; AOS at Carnarvon 02 25 30.",0
2019-07-16 08:47:35,CDR: Roger.,0
2019-07-16 08:57:44,"CC: Apollo 11, this is Houston through Carnarvon. Radio check. Over.",0
2019-07-16 08:57:49,"CDR: Roger, Houston through Carnarvon. Apollo 11. Loud and clear.",0
2019-07-16 08:57:53,"CC: Roger. You're coming in very loud and very clear, here. Out.",0
2019-07-16 08:58:38,"CC: Apollo 11, this is Houston. You are GO for TLI. Over.",0
2019-07-16 08:58:45,CMP: Apollo 11. Thank you.,0
2019-07-16 08:58:48,CC: Roger. Out.,0
2019-07-16 09:02:11,"CC: Apollo 11, this is Houston. Over.",0
2019-07-16 09:02:16,"CDR: Houston, 11.",0
2019-07-16 09:02:18," CC: Roger. We'll be coming within range of the ARIA aircraft coverage, here, in about 1 minute. They're going to try uplinking both on S-band and on VHF this time. So if you turn your - make sure your S-band volume is turned up, we'd appreciate it. And we",0
2019-07-16 09:02:18,believe that we'll have continuous coverage from now on through the TLI burn. Over.,0
2019-07-16 09:02:42,CDR: Very good.,0
2019-07-16 09:04:20,"CC: Apollo 11, Apollo 11, this is Houston through ARIA 4. Radio check. Over.",0
2019-07-16 09:04:28,"LMP: Houston, we read you strength 4 and a little scratchy.",0
2019-07-16 09:04:34,"CC: Roger. We're reading you strength 5, readability about 3. Should be quite adequate.",0
2019-07-16 09:04:42,"CC: Apollo 11, Apollo 11, this is Houston. We're reading you readability about 3, strength 5. Sounds pretty good. Over.",0
2019-07-16 09:04:54,CDR: Roger. We've got a little static in the background now.,0
2019-07-16 09:09:21,"CC: Apollo 11, this is Houston through ARIA 3. Radio cheek. Over.",0
2019-07-16 09:09:26,"CDR: Roger, Houston, Apollo 11. You are much clearer and adequately loud. Over.",0
2019-07-16 09:09:32,"CC: Roger, 11, You are coming in five-by-five here. Beautiful signal.",0
2019-07-16 09:09:38,CDR: This is a lot better than this static we had previously.,0
2019-07-16 09:09:41,CC: Okay.,0
2019-07-16 09:09:48,CMP: And we got the time base fix indication on time.,0
2019-07-16 09:09:50,CC: This is Houston. Roger. Out.,0
2019-07-16 09:12:20,"CC: Apollo 11, this is Houston. We just got telemetry back down on your booster, and it is looking good.",0
2019-07-16 09:12:30,CDR: Roger. Everything looks good here.,0
2019-07-16 09:12:34,"CC: Houston, Roger. Out.",0
2019-07-16 09:15:18,"CC: Apollo 11, this is Houston. Slightly less than 1 minute to ignition, and everthing is GO.",0
2019-07-16 09:15:25,CMP: Roger.,0
2019-07-16 09:16:19,CMP: Ignition.,0
2019-07-16 09:16:27,"CC: We confirm ignition, and the thrust is GO.",0
2019-07-16 09:17:14,"CC: Apollo 11, this is Houston at 1 minute. Trajectory and guidance look good, and the stage is good. Over.",0
2019-07-16 09:17:23,CDR: Apollo 11. Roger.,0
2019-07-16 09:18:26,"CC: Apollo 11, this is Houston. Thrust is good. Everything's still looking good.",0
2019-07-16 09:18:32,CDR: Roger.,0
2019-07-16 09:19:54,"CC: Apollo 11, this is Houston. Around 3-1/2 minutes. You're still looking good. Your predicted cut-off is right on the nominal.",0
2019-07-16 09:20:04,CDR: Roger. Apollo 11 is GO.,0
2019-07-16 09:21:18,"CC: Apollo 11, this is Houston. You are GO at 5 minutes.",0
2019-07-16 09:21:22,CDR: Roger. We're GO.,0
2019-07-16 09:22:36,"CC: Apollo 11, this is Houston. We show cut-off and we copy the numbers in NOUN 62.",0
2019-07-16 09:22:54,"CC: Apollo 11, Houston. Do you read?",0
2019-07-16 09:23:21,"CC: Apollo 11, this is Houston. Do you read? Over.",0
2019-07-16 09:23:28,"LMP: Roger, Houston. Apollo 11. We're reading a VI of 35579 and the EMS was plus 3.3. Over.",0
2019-07-16 09:23:31,CC: Roger. Plus 3.3 on the EMS. And we copy the VI.,0
2019-07-16 09:25:03,"CDR: Hey, Houston, Apollo 11. That Saturn gave us a magnificent ride.",0
2019-07-16 09:25:07,"CC: Roger, 11. We'll pass that on. And, it certainly looks like you are well on your way now.",0
2019-07-16 09:25:30,CDR: We have no complaints with any of the three stages on that ride. It was beautiful.,0
2019-07-16 09:25:38,CC: Roger. We copy. No transients at staging of any significance. Over.,0
2019-07-16 09:25:44,CDR: That's right. It was all - all a good ride.,0
2019-07-16 09:25:47,CC: Houston. Roger. Out.,0
2019-07-16 09:26:09,"CC: Apollo 11, this is Houston. For your information, we expect the maneuver to separation attitude to begin at 3 plus 05 plus 03, and to be completed at plus 09 plus 20. Separation at 3 plus 15 plus 00.",0
2019-07-16 09:26:33,"CDR: Roger. Time to begin maneuver is 3 05 03, complete 3 09 20. Separation 3 plus 15 00.",0
2019-07-16 09:26:46,CC: Roger. That separation should be 3 plus 15 03. My error in reading up.,0
2019-07-16 09:26:55,CDR: Roger.,0
2019-07-16 09:27:18,"CC: Apollo 11, this is Houston. All the booster functions are proceeding normally. The sequencing is in good shape, and it doesn't look like they are having any problems at all. Over.",0
2019-07-16 09:27:28,CDR: Roger.,0
2019-07-16 09:37:28,"CC: Apollo 11, this is Houston. Our preliminary data indicates a good cut-off on the S-IVB. We'll have some more trajectory data for you in about half an hour. Over.",0
2019-07-16 09:41:01,"CC: Apollo 11, Apollo 11, this is Houston. Over.",0
2019-07-16 09:41:16,"CC: Apollo 11, Apollo 11, this is Houston. Over.",0
2019-07-16 09:41:31,"CDR: Hello, Houston. Hello, Houston. This is Apollo 11. I'm reading you loud and clear. Go ahead. Over.",0
2019-07-16 09:41:37,"CC: Roger, 11. This is Houston. We had to shift stations. We weren't reading you through Goldstone. We show PYR0 bus A armed and PYRO bus B not armed at the present time. Over.",0
2019-07-16 09:41:50,"CDR: That's affirmative, Houston. That's affirmative.",0
2019-07-16 09:41:54,CC: Roger.,0
2019-07-16 09:46:08,"CC: Apollo 11, this is Houston. You're GO for separation. Our systems recommendation is arm both PYRO buses. Over.",0
2019-07-16 09:46:19,"CDR: Okay. PYRO B coming armed. My intent is to use bottle primary 1, as per the checklist; therefore, I just turned A on.",0
2019-07-16 09:46:26,CC: Roger. We concur with the logic.,0
2019-07-16 09:48:59,"CDR: Houston, we're about to SEP.",0
2019-07-16 09:49:02,CC: This is Houston. We copy.,0
2019-07-16 09:49:09,CDR: SEP is complete.,0
2019-07-16 09:49:12,CC: Roger.,0
2019-07-16 09:49:32,CDR: ... and primary and secondary propellant B went ... SEP.,0
2019-07-16 09:49:40,CC: That was secondary propellant on quad Bravo?,0
2019-07-16 09:49:45,"CDR: Quad Bravo, yes. Both the primary and secondary ...",0
2019-07-16 09:49:52,CC: Roger. We copy.,0
2019-07-16 09:54:07,"CC: Apollo 11, this is Houston. Radio check. Over.",0
2019-07-16 09:55:56,"CC: Apollo 11, Apollo 11, this is Houston broadcasting in the blind. Request OMNI Bravo if you read us. Request OMNI Bravo. Out.",0
2019-07-16 09:56:13,"CC: Apollo 11, this is Houston. How do you read?",0
2019-07-16 09:57:49,"CC: Apollo 11, this is Houston. How do you read? Over.",0
2019-07-16 09:58:47,"CC: Apollo 11, Apollo 11, this is Houston. Do you read? 0ver.",0
2019-07-16 09:59:54,"CC: Apollo 11, this is Houston. Radio check. Over.",0
2019-07-16 10:00:11,"CC: Apollo 11, Apollo 11, this is Houston. Radio check. Over.",0
2019-07-16 10:01:20,"CC: Apollo 11, this is Houston. Radio check. Over.",0
2019-07-16 10:01:24,CDR: Roger. ...,0
2019-07-16 10:01:26,"CC: Roger. We're copying you about five-by-two, very weak. Can you give us a status report, please?",0
2019-07-16 10:01:35,"CDR: Roger. We are docked. We do have acquisition with the high gain at this time, I think.",0
2019-07-16 10:01:44,CC: Understand you are using the high gain. Over.,0
2019-07-16 10:01:48,CDR: That's affirmative.,0
2019-07-16 10:01:49,LMP: That's affirmative.,0
2019-07-16 10:01:51,"CC: Roger. I read you very loud and clear, Buzz. Mike is pretty weak.",0
2019-07-16 10:02:00,"LMP: Roger. We've got the high gain locked on, now, I believe; AUTO tracking now.",0
2019-07-16 10:02:05,"CC: Okay. You're coming in loud and clear, but Mike is just barely readable.",0
2019-07-16 10:02:12,CMP: That was Neil. How are you reading Mike?,0
2019-07-16 10:02:15,"CC: Loud and clear now, Mike, and we understand that you are docked.",0
2019-07-16 10:02:19,CMP: That's affirmative.,0
2019-07-16 10:02:24,"CDR: Houston, CDR. How do you read ...?",0
2019-07-16 10:02:28,"CC: 11, CDR, loud and clear, Neil.",0
2019-07-16 10:02:30,CDR: Okay.,0
2019-07-16 10:04:40,"CC: 11, this is Houston. Over.",0
2019-07-16 10:04:44,"CDR: Houston, Apollo 11. Go ahead.",0
2019-07-16 10:04:46,"CC: Roger. When you commented on that quad Bravo problem at separation, you were a little weak. Could you go through what you did after you noticed the talkbacks barber pole again, please?",0
2019-07-16 10:05:20,CC: We copied the - the primary and secondary propellant talkbacks on SM RCS quad Bravo 1 to barber pole on separation.,0
2019-07-16 10:05:30,"CDR: Roger. Roger. That is affirmative, and we moved that switch to the OPEN position, and they went back to gray. Over.",0
2019-07-16 10:05:39,CC: Roger.,0
2019-07-16 10:09:51,"CC: Apollo 11, this is Houston. Over.",0
2019-07-16 10:09:56,"CMP: Roger, Houston. Apollo 11. Go ahead.",0
2019-07-16 10:09:58,CC: Roger. Could you give us comments on how the transposition and docking went? Over.,0
